"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","DECADES"
25921,1951,"CA","CDF","TCU","BUZZARD","00000000","1951/07/22 00:00:01+00","",14,NA,1,534.59235,1950
25922,1951,"CA","CDF","MEU","CAHTO RIDGE","00000000","1951/08/19 00:00:01+00","",14,NA,1,332.06143,1950
25923,1951,"CA","CDF","NEU","CAMP BEALE #1","00000000","1951/08/08 00:00:01+00","",14,NA,1,585.26202,1950
25924,1951,"CA","CDF","TCU","CAMP NINE","00000000","1951/08/17 00:00:01+00","",14,NA,1,1399.6163,1950
25925,1951,"CA","CDF","BTU","CARLYLE","00000000","1951/08/14 00:00:01+00","",14,NA,1,471.25095,1950
25926,1951,"CA","CDF","HUU","CHARLES FIRNEKAS","00000000","1951/07/08 00:00:01+00","",14,NA,1,604.46564,1950
25927,1951,"CA","CDF","MMU","COULTERVILLE","00000000","1951/07/20 00:00:01+00","",14,NA,1,769.89746,1950
25928,1951,"CA","CDF","TCU","DEYOUNG","00000000","1951/07/07 00:00:01+00","",14,NA,1,525.92267,1950
25929,1951,"CA","CDF","AEU","DOBBAS","00000000","1951/07/20 00:00:01+00","",14,NA,1,354.7558,1950
25930,1951,"CA","CDF","HUU","DOLLY VARDEN","00000000","1951/09/06 00:00:01+00","",14,NA,1,829.45465,1950
25931,1951,"CA","CDF","AEU","DRESSLER","00000000","1951/09/14 00:00:01+00","",14,NA,1,809.7149,1950
25932,1951,"CA","CDF","SCU","DRY CREEK FIRE","00000000","1951/06/01 00:00:01+00","",14,NA,1,1078.1583,1950
25933,1951,"CA","CDF","NEU","EUREKA","00000000","1951/07/18 00:00:01+00","",14,NA,1,221.06476,1950
25934,1951,"CA","CDF","MEU","FISHER #3","00000000","1951/08/19 00:00:01+00","",14,NA,1,376.3952,1950
25935,1951,"CA","CDF","HUU","G.L. SPEIER","00000000","1951/07/19 00:00:01+00","",14,NA,1,1190.4388,1950
25936,1951,"CA","CDF","BEU","CACHAGUA","00000000","1951/09/16 00:00:01+00","",14,NA,1,388.38565,1950
25937,1951,"CA","CDF","BEU","ESPINOSA CANYON #2","00000000","1951/07/19 00:00:01+00","",14,NA,1,1624.1797,1950
25938,1951,"CA","CDF","BEU","KENT CANYON","00000000","1951/07/27 00:00:01+00","",14,NA,1,6753.5498,1950
25939,1951,"CA","CDF","BEU","LA GLORIA","00000000","1951/09/15 00:00:01+00","",14,NA,1,4228.6562,1950
25940,1951,"CA","CDF","BEU","SALSIPUEDES","00000000","1951/09/15 00:00:01+00","",14,NA,1,805.64398,1950
25941,1951,"CA","CDF","BEU","SAN CARLOS","00000000","1951/08/16 00:00:01+00","",14,NA,1,440.33099,1950
25942,1951,"CA","CDF","FKU","BRALEY-JONES RANCH","00000000","1951/06/04 00:00:01+00","",14,NA,1,468.08365,1950
25943,1951,"CA","CDF","FKU","MURPHY","00000000","1951/07/08 00:00:01+00","",14,NA,1,2340.5012,1950
25944,1951,"CA","USF","CNF"," ","00000000","","",1,NA,1,629.11469,1950
25945,1951,"CA","USF","CNF"," ","00000000","","",9,NA,1,131.8783,1950
25946,1951,"CA","USF","CNF"," ","00000000","","",9,NA,1,81.184265,1950
25947,1951,"CA","USF","CNF"," ","00000000","","",9,NA,1,92.0112,1950
25948,1951,"CA","USF","CNF"," ","00000000","","",9,NA,1,50.077068,1950
25949,1951,"CA","USF","CNF"," ","00000000","","",9,NA,1,241.8718,1950
25950,1951,"CA","USF","CNF"," ","00000000","","",1,NA,1,52.976208,1950
25951,1951,"CA","USF","CNF","LITTLE PAGE","00000000","1951/03/15 00:00:01+00","",14,NA,1,77.703514,1950
25952,1951,"CA","CDF","MVU","WARD CANYON","00000000","1951/07/19 00:00:01+00","",14,NA,1,292.68484,1950
26071,1955,"CA","CCO","VNC","HOFFMAN","00000000","1955/08/31 00:00:01+00","",14,NA,1,522.12787,1950
26072,1955,"CA","CCO","VNC","HOUSTON","00000000","1955/02/10 00:00:01+00","",14,NA,1,488.64493,1950
26073,1955,"CA","CCO","VNC","VENTU PARK","00000000","1955/11/07 00:00:01+00","",14,NA,1,13956.837,1950
26074,1955,"CA","CDF","SLU","TORO CREEK","00000000","1955/11/04 00:00:01+00","",14,NA,1,1220.969,1950
26075,1955,"CA","CDF","SLU","IRON SPRINGS","00000000","1955/08/07 00:00:01+00","",14,NA,1,813.9527,1950
26076,1955,"CA","CDF","SLU","JESSUP","00000000","1955/08/09 00:00:01+00","",14,NA,1,1530.8329,1950
26077,1955,"CA","CDF","SLU","VENADOS","00000000","1955/07/19 00:00:01+00","",14,NA,1,452.60211,1950
26078,1955,"CA","CDF","BEU","BURKETT","00000000","1955/09/03 00:00:01+00","",14,NA,1,11573.623,1950
26079,1955,"CA","CDF","BEU","GOAT CANYON","00000000","1955/07/30 00:00:01+00","",14,NA,1,4994.3667,1950
26080,1955,"CA","CDF","BEU","PALE CANYON","00000000","1955/07/28 00:00:01+00","",14,NA,1,677.17383,1950
26081,1955,"CA","CDF","BEU","PALOMA MT.","00000000","1955/08/14 00:00:01+00","",14,NA,1,366.40948,1950
26082,1955,"CA","CDF","BEU","STONE CANYON","00000000","1955/08/07 00:00:01+00","",14,NA,1,1291.2302,1950
26083,1955,"CA","CDF","BEU","THE COTTONWOOD","00000000","1955/08/06 00:00:01+00","",14,NA,1,530.5697,1950
26084,1955,"CA","CDF","FKU","BACKBONE","00000000","1955/08/23 00:00:01+00","",14,NA,1,317.19849,1950
26111,1955,"CA","CCO","ORC","JACK","00000000","1955/09/25 00:00:01+00","",14,NA,1,1606.5298,1950
